,182*,Date 183*,All 18*,Date 184*,Date 185*,Date 186*,Date 187*,Date 188*,Date 189*
titles  (T),22,451,15033,917,1185,1936,2300,3405,4817
titles with ref (Tr),19,222,5165,414,438,646,708,1055,1663
titles in pg  (Tg),1,12,1471,42,85,158,188,366,619
,,,,,,,,,
ratio Tr/T,0.863636363636364,0.492239467849224,0.34357746291492,0.451472191930207,0.369620253164557,0.333677685950413,0.307826086956522,0.309838472834068,0.345235623832261
ratio Tg/T,0.045454545454546,0.026607538802661,0.097851393600745,0.045801526717557,0.071729957805907,0.081611570247934,0.081739130434783,0.107488986784141,0.128503217770396
,,,,,,,,,
ratio T/D2,0.001463447083084,0.03000066520322,1,0.060999135235815,0.078826581520655,0.128783343311382,0.152996740504224,0.22650169626821,0.320428390873412
Tr/D3,0.004259438528558,0.04298160696999,,0.080154888673766,0.084801548886738,0.125072604065828,0.137076476282672,0.204259438528558,0.321974830590513
Tg/D4,0.000679809653297,0.008157715839565,,0.028552005438477,0.057783820530252,0.107409925220938,0.12780421481985,0.24881033310673,0.420802175390891
